Date,Name,Weekday,Type
2016-06-21,June Solstice,MONDAY,Season
2016-07-01,Jamat Ul-Vida,FRIDAY,Restricted Holiday
2016-07-06,Ramzan Id/Eid-ul-Fitar,WEDNESDAY,"Muslim, Common local holiday"
2016-07-06,Rath Yatra,WEDNESDAY,Restricted Holiday
2016-07-19,Guru Purnima,MONDAY,Observance
2016-08-07,Friendship Day,SUNDAY,Observance
2016-08-15,Independence Day,MONDAY,Gazetted Holiday
2016-08-17,Parsi New Year,WEDNESDAY,Restricted Holiday
2016-08-18,Raksha Bandhan (Rakhi),THURSDAY,Restricted Holiday
2016-08-25,Janmashtami,THURSDAY,Gazetted Holiday
2016-09-05,Ganesh Chaturthi/Vinayaka Chaturthi,MONDAY,Restricted Holiday
2016-09-13,Bakr Id/Eid ul-Adha,MONDAY,Gazetted Holiday
2016-09-14,Onam,WEDNESDAY,Restricted Holiday
2016-09-22,September Equinox,THURSDAY,Season
2016-10-02,Mahatma Gandhi Jayanti,SUNDAY,Gazetted Holiday
2016-10-09,Maha Ashtami,SUNDAY,Restricted Holiday
2016-10-11,Dussehra,MONDAY,Gazetted Holiday
2016-10-12,Muharram/Ashura,WEDNESDAY,Gazetted Holiday
2016-10-16,Maharishi Valmiki Jayanti,SUNDAY,Restricted Holiday
2016-10-19,Karaka Chaturthi (Karva Chauth),WEDNESDAY,Restricted Holiday
2016-10-29,Naraka Chaturdasi,SATURDAY,Restricted Holiday
2016-10-30,Diwali/Deepavali,SUNDAY,Gazetted Holiday
2016-10-31,Halloween,MONDAY,Observance
2016-10-31,Govardhan Puja,MONDAY,Restricted Holiday
2016-11-01,Bhai Duj,MONDAY,Restricted Holiday
2016-11-06,Chhat Puja (Pratihar Sashthi/Surya Sashthi),SUNDAY,Restricted Holiday
2016-11-14,Guru Nanak Jayanti,MONDAY,Gazetted Holiday
2016-11-24,Guru Tegh Bahadur's Martyrdom Day,THURSDAY,Restricted Holiday
2016-12-13,Milad un-Nabi/Id-e-Milad,MONDAY,Gazetted Holiday
2016-12-21,December Solstice,WEDNESDAY,Season
2016-12-24,Christmas Eve,SATURDAY,Restricted Holiday
2016-12-25,First Day of Hanukkah,SUNDAY,Observance
2016-12-25,Christmas,SUNDAY,Gazetted Holiday
2016-12-31,New Year's Eve,SATURDAY,Observance
2017-01-01,Last day of Hanukkah,SUNDAY,Observance
2017-01-01,New Year's Day,SUNDAY,Restricted Holiday
2017-01-05,Guru Govind Singh Jayanti,THURSDAY,Restricted Holiday
2017-01-14,Pongal,SATURDAY,Restricted Holiday
2017-01-14,Makar Sankranti,SATURDAY,Restricted Holiday
2017-01-26,Republic Day,THURSDAY,Gazetted Holiday
2017-01-28,Chinese New Year,SATURDAY,Observance
2017-02-01,Vasant Panchami,WEDNESDAY,Restricted Holiday
2017-02-10,Guru Ravidas Jayanti,FRIDAY,Restricted Holiday
2017-02-14,Valentine's Day,MONDAY,Observance
2017-02-19,Shivaji Jayanti,SUNDAY,Restricted Holiday
2017-02-21,Maharishi Dayanand Saraswati Jayanti,MONDAY,Restricted Holiday
2017-02-24,Maha Shivaratri/Shivaratri,FRIDAY,Gazetted Holiday
2017-03-12,Holika Dahana,SUNDAY,Restricted Holiday
2017-03-13,Holi,MONDAY,Restricted Holiday
2017-03-20,March Equinox,MONDAY,Season
2017-03-28,Chaitra Sukhladi,MONDAY,Restricted Holiday
2017-04-04,Rama Navami,MONDAY,Gazetted Holiday
2017-04-09,Mahavir Jayanti,SUNDAY,Gazetted Holiday
2017-04-11,First day of Passover,MONDAY,Observance
2017-04-11,Hazarat Ali's Birthday,MONDAY,Restricted Holiday
2017-04-13,Maundy Thursday,THURSDAY,"Observance, Christian"
2017-04-14,Good Friday,FRIDAY,Gazetted Holiday
2017-04-14,Vaisakhi,FRIDAY,Restricted Holiday
2017-04-14,Ambedkar Jayanti,FRIDAY,Observance
2017-04-15,Mesadi/Vaisakhadi,SATURDAY,Restricted Holiday
2017-04-16,Easter Day,SUNDAY,Restricted Holiday
2017-05-01,May Day,MONDAY,Observance
2017-05-09,Birthday of Ravindranath,MONDAY,Restricted Holiday
2017-05-10,Buddha Purnima/Vesak,WEDNESDAY,Gazetted Holiday
2017-05-14,Mother's Day,SUNDAY,Observance
2017-06-18,Father's Day,SUNDAY,Observance
2017-06-21,June Solstice,WEDNESDAY,Season
