ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,maxtempC,mintempC,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
Airport ATM,2012-09-27,109,79,30,454000,401100,52900,SUNDAY,NH,H,HHW,33,19,11.6,7,82,04:14 PM,03:38 AM,06:12 AM,06:16 PM,19,27,27,26,9,39,71,4.2,1012,33,9,282,6
KK Nagar ATM,2012-09-27,229,171,58,825000,639400,185600,SUNDAY,NH,H,HHW,33,19,11.6,7,82,04:14 PM,03:38 AM,06:12 AM,06:16 PM,19,27,27,26,9,39,71,4.2,1012,33,9,282,6
Christ College ATM,2012-09-27,108,35,73,394800,158900,235900,SUNDAY,NH,H,HHW,33,19,11.6,7,82,04:14 PM,03:38 AM,06:12 AM,06:16 PM,19,27,27,26,9,39,71,4.2,1012,33,9,282,6
Big Street ATM,2012-09-28,76,18,58,185700,65300,120400,SUNDAY,NH,H,HHW,32,20,11.6,6,89,04:56 PM,04:28 AM,06:12 AM,06:15 PM,20,27,27,25,10,44,74,5.9,1011,32,8,271,7
Mount Road ATM,2012-09-28,111,65,46,263600,159900,103700,SUNDAY,NH,H,HHW,32,20,11.6,6,89,04:56 PM,04:28 AM,06:12 AM,06:15 PM,20,27,27,25,10,44,74,5.9,1011,32,8,271,7
Airport ATM,2012-09-28,98,67,31,536900,412600,124300,SUNDAY,NH,H,HHW,32,20,11.6,6,89,04:56 PM,04:28 AM,06:12 AM,06:15 PM,20,27,27,25,10,44,74,5.9,1011,32,8,271,7
KK Nagar ATM,2012-09-28,278,208,70,1239900,991900,248000,SUNDAY,NH,H,HHW,32,20,11.6,6,89,04:56 PM,04:28 AM,06:12 AM,06:15 PM,20,27,27,25,10,44,74,5.9,1011,32,8,271,7
Christ College ATM,2012-09-28,154,40,114,696200,248000,448200,SUNDAY,NH,H,HHW,32,20,11.6,6,89,04:56 PM,04:28 AM,06:12 AM,06:15 PM,20,27,27,25,10,44,74,5.9,1011,32,8,271,7
Big Street ATM,2012-09-29,55,25,30,167500,111900,55600,SATURDAY,NH,H,WHH,32,20,10.2,6,97,05:37 PM,05:18 AM,06:12 AM,06:14 PM,21,27,27,25,7,53,79,6.7,1010,32,8,237,5
Mount Road ATM,2012-09-29,216,110,106,690700,465600,225100,SATURDAY,NH,H,WHH,32,20,10.2,6,97,05:37 PM,05:18 AM,06:12 AM,06:14 PM,21,27,27,25,7,53,79,6.7,1010,32,8,237,5
Airport ATM,2012-09-29,51,41,10,213200,174300,38900,SATURDAY,NH,H,WHH,32,20,10.2,6,97,05:37 PM,05:18 AM,06:12 AM,06:14 PM,21,27,27,25,7,53,79,6.7,1010,32,8,237,5
KK Nagar ATM,2012-09-29,254,175,79,1008000,676100,331900,SATURDAY,NH,H,WHH,32,20,10.2,6,97,05:37 PM,05:18 AM,06:12 AM,06:14 PM,21,27,27,25,7,53,79,6.7,1010,32,8,237,5
Christ College ATM,2012-09-29,101,43,58,384400,198000,186400,SATURDAY,NH,H,WHH,32,20,10.2,6,97,05:37 PM,05:18 AM,06:12 AM,06:14 PM,21,27,27,25,7,53,79,6.7,1010,32,8,237,5
Big Street ATM,2012-09-30,89,19,70,219800,58800,161000,SUNDAY,NH,H,HHW,27,20,11.6,6,100,06:17 PM,06:07 AM,06:12 AM,06:14 PM,20,26,26,24,12,51,83,9.5,1010,27,7,265,8
Mount Road ATM,2012-09-30,160,34,126,335500,67400,268100,SUNDAY,NH,H,HHW,27,20,11.6,6,100,06:17 PM,06:07 AM,06:12 AM,06:14 PM,20,26,26,24,12,51,83,9.5,1010,27,7,265,8
Airport ATM,2012-09-30,77,56,21,487300,399400,87900,SUNDAY,NH,H,HHW,27,20,11.6,6,100,06:17 PM,06:07 AM,06:12 AM,06:14 PM,20,26,26,24,12,51,83,9.5,1010,27,7,265,8
KK Nagar ATM,2012-09-30,133,74,59,468500,255900,212600,SUNDAY,NH,H,HHW,27,20,11.6,6,100,06:17 PM,06:07 AM,06:12 AM,06:14 PM,20,26,26,24,12,51,83,9.5,1010,27,7,265,8
Christ College ATM,2012-09-30,81,36,45,306500,191400,115100,SUNDAY,NH,H,HHW,27,20,11.6,6,100,06:17 PM,06:07 AM,06:12 AM,06:14 PM,20,26,26,24,12,51,83,9.5,1010,27,7,265,8
Big Street ATM,2012-10-01,97,30,67,430900,199100,231800,SUNDAY,NH,H,HHW,29,20,11.6,5,100,06:59 PM,06:56 AM,06:12 AM,06:13 PM,20,25,25,23,15,47,81,3.7,1010,29,6,248,11
Mount Road ATM,2012-10-01,211,111,100,893700,594000,299700,SUNDAY,NH,H,HHW,29,20,11.6,5,100,06:59 PM,06:56 AM,06:12 AM,06:13 PM,20,25,25,23,15,47,81,3.7,1010,29,6,248,11
Airport ATM,2012-10-01,155,109,46,884200,710600,173600,SUNDAY,NH,H,HHW,29,20,11.6,5,100,06:59 PM,06:56 AM,06:12 AM,06:13 PM,20,25,25,23,15,47,81,3.7,1010,29,6,248,11
KK Nagar ATM,2012-10-01,331,239,92,1580700,1175300,405400,SUNDAY,NH,H,HHW,29,20,11.6,5,100,06:59 PM,06:56 AM,06:12 AM,06:13 PM,20,25,25,23,15,47,81,3.7,1010,29,6,248,11
Christ College ATM,2012-10-01,80,45,35,308000,155300,152700,SUNDAY,NH,H,HHW,29,20,11.6,5,100,06:59 PM,06:56 AM,06:12 AM,06:13 PM,20,25,25,23,15,47,81,3.7,1010,29,6,248,11
Big Street ATM,2012-10-02,118,17,101,347000,70000,277000,TUESDAY,N,H,WHW,30,19,11.6,6,85,07:41 PM,07:45 AM,06:12 AM,06:12 PM,19,25,25,23,18,41,78,0.7,1011,30,6,237,12
Mount Road ATM,2012-10-02,141,31,110,438100,168900,269200,TUESDAY,N,H,WHW,30,19,11.6,6,85,07:41 PM,07:45 AM,06:12 AM,06:12 PM,19,25,25,23,18,41,78,0.7,1011,30,6,237,12
Airport ATM,2012-10-02,103,67,36,426900,328100,98800,TUESDAY,N,H,WHW,30,19,11.6,6,85,07:41 PM,07:45 AM,06:12 AM,06:12 PM,19,25,25,23,18,41,78,0.7,1011,30,6,237,12
KK Nagar ATM,2012-10-02,147,95,52,550500,360600,189900,TUESDAY,N,H,WHW,30,19,11.6,6,85,07:41 PM,07:45 AM,06:12 AM,06:12 PM,19,25,25,23,18,41,78,0.7,1011,30,6,237,12
Christ College ATM,2012-10-02,66,32,34,276700,142800,133900,TUESDAY,N,H,WHW,30,19,11.6,6,85,07:41 PM,07:45 AM,06:12 AM,06:12 PM,19,25,25,23,18,41,78,0.7,1011,30,6,237,12
Big Street ATM,2012-10-03,94,25,69,339700,114700,225000,TUESDAY,N,H,WHW,31,17,11.6,6,78,08:25 PM,08:33 AM,06:12 AM,06:12 PM,17,24,24,23,17,24,73,0.0,1011,31,8,244,11
Mount Road ATM,2012-10-03,230,122,108,991900,715800,276100,TUESDAY,N,H,WHW,31,17,11.6,6,78,08:25 PM,08:33 AM,06:12 AM,06:12 PM,17,24,24,23,17,24,73,0.0,1011,31,8,244,11
Airport ATM,2012-10-03,130,105,25,498700,412800,85900,TUESDAY,N,H,WHW,31,17,11.6,6,78,08:25 PM,08:33 AM,06:12 AM,06:12 PM,17,24,24,23,17,24,73,0.0,1011,31,8,244,11
KK Nagar ATM,2012-10-03,350,236,114,1679600,1074500,605100,TUESDAY,N,H,WHW,31,17,11.6,6,78,08:25 PM,08:33 AM,06:12 AM,06:12 PM,17,24,24,23,17,24,73,0.0,1011,31,8,244,11
Christ College ATM,2012-10-03,215,46,169,822700,201100,621600,TUESDAY,N,H,WHW,31,17,11.6,6,78,08:25 PM,08:33 AM,06:12 AM,06:12 PM,17,24,24,23,17,24,73,0.0,1011,31,8,244,11
Big Street ATM,2012-10-04,65,14,51,229300,38000,191300,TUESDAY,N,H,WHW,31,16,11.6,6,70,09:10 PM,09:23 AM,06:12 AM,06:11 PM,17,24,24,23,15,30,74,0.0,1011,31,7,247,10
Mount Road ATM,2012-10-04,215,108,107,674400,415400,259000,TUESDAY,N,H,WHW,31,16,11.6,6,70,09:10 PM,09:23 AM,06:12 AM,06:11 PM,17,24,24,23,15,30,74,0.0,1011,31,7,247,10
Airport ATM,2012-10-04,86,66,20,524900,433900,91000,TUESDAY,N,H,WHW,31,16,11.6,6,70,09:10 PM,09:23 AM,06:12 AM,06:11 PM,17,24,24,23,15,30,74,0.0,1011,31,7,247,10
KK Nagar ATM,2012-10-04,309,245,64,1587800,1367200,220600,TUESDAY,N,H,WHW,31,16,11.6,6,70,09:10 PM,09:23 AM,06:12 AM,06:11 PM,17,24,24,23,15,30,74,0.0,1011,31,7,247,10
Christ College ATM,2012-10-04,139,46,93,740800,275300,465500,TUESDAY,N,H,WHW,31,16,11.6,6,70,09:10 PM,09:23 AM,06:12 AM,06:11 PM,17,24,24,23,15,30,74,0.0,1011,31,7,247,10
Big Street ATM,2012-10-05,74,19,55,267700,117000,150700,TUESDAY,N,H,WHW,32,16,11.6,6,63,09:57 PM,10:11 AM,06:12 AM,06:11 PM,18,26,26,25,11,26,71,0.0,1012,32,7,260,7
Mount Road ATM,2012-10-05,199,80,119,748400,371500,376900,TUESDAY,N,H,WHW,32,16,11.6,6,63,09:57 PM,10:11 AM,06:12 AM,06:11 PM,18,26,26,25,11,26,71,0.0,1012,32,7,260,7
Airport ATM,2012-10-05,92,62,30,566000,425900,140100,TUESDAY,N,H,WHW,32,16,11.6,6,63,09:57 PM,10:11 AM,06:12 AM,06:11 PM,18,26,26,25,11,26,71,0.0,1012,32,7,260,7
KK Nagar ATM,2012-10-05,310,244,66,1338200,1096400,241800,TUESDAY,N,H,WHW,32,16,11.6,6,63,09:57 PM,10:11 AM,06:12 AM,06:11 PM,18,26,26,25,11,26,71,0.0,1012,32,7,260,7
Christ College ATM,2012-10-05,157,52,105,719600,287100,432500,TUESDAY,N,H,WHW,32,16,11.6,6,63,09:57 PM,10:11 AM,06:12 AM,06:11 PM,18,26,26,25,11,26,71,0.0,1012,32,7,260,7
Big Street ATM,2012-10-06,89,26,63,324600,133000,191600,SATURDAY,NH,H,WHH,33,19,11.6,6,56,10:46 PM,11:00 AM,06:12 AM,06:10 PM,20,27,27,25,9,39,75,0.9,1012,33,7,234,5
Mount Road ATM,2012-10-06,188,81,107,717600,363200,354400,SATURDAY,NH,H,WHH,33,19,11.6,6,56,10:46 PM,11:00 AM,06:12 AM,06:10 PM,20,27,27,25,9,39,75,0.9,1012,33,7,234,5
Airport ATM,2012-10-06,115,81,34,502700,422900,79800,SATURDAY,NH,H,WHH,33,19,11.6,6,56,10:46 PM,11:00 AM,06:12 AM,06:10 PM,20,27,27,25,9,39,75,0.9,1012,33,7,234,5
KK Nagar ATM,2012-10-06,315,187,128,1332200,714200,618000,SATURDAY,NH,H,WHH,33,19,11.6,6,56,10:46 PM,11:00 AM,06:12 AM,06:10 PM,20,27,27,25,9,39,75,0.9,1012,33,7,234,5
Christ College ATM,2012-10-06,170,62,108,835500,343800,491700,SATURDAY,NH,H,WHH,33,19,11.6,6,56,10:46 PM,11:00 AM,06:12 AM,06:10 PM,20,27,27,25,9,39,75,0.9,1012,33,7,234,5
Big Street ATM,2012-10-07,94,23,71,230400,83800,146600,SUNDAY,NH,H,HHW,31,20,11.6,6,49,11:36 PM,11:48 AM,06:13 AM,06:09 PM,20,27,27,25,6,45,75,0.8,1012,31,8,286,4
Mount Road ATM,2012-10-07,1,0,1,500,0,500,SUNDAY,NH,H,HHW,31,20,11.6,6,49,11:36 PM,11:48 AM,06:13 AM,06:09 PM,20,27,27,25,6,45,75,0.8,1012,31,8,286,4
Airport ATM,2012-10-07,133,81,52,454400,309300,145100,SUNDAY,NH,H,HHW,31,20,11.6,6,49,11:36 PM,11:48 AM,06:13 AM,06:09 PM,20,27,27,25,6,45,75,0.8,1012,31,8,286,4
KK Nagar ATM,2012-10-07,153,88,65,542300,366900,175400,SUNDAY,NH,H,HHW,31,20,11.6,6,49,11:36 PM,11:48 AM,06:13 AM,06:09 PM,20,27,27,25,6,45,75,0.8,1012,31,8,286,4
Christ College ATM,2012-10-07,99,38,61,401500,178800,222700,SUNDAY,NH,H,HHW,31,20,11.6,6,49,11:36 PM,11:48 AM,06:13 AM,06:09 PM,20,27,27,25,6,45,75,0.8,1012,31,8,286,4
Big Street ATM,2012-10-08,71,20,51,221800,95900,125900,SUNDAY,NH,H,HHW,34,20,11.6,7,41,No moonrise,12:34 PM,06:13 AM,06:09 PM,20,29,29,27,6,21,71,1.8,1010,34,9,237,4
Mount Road ATM,2012-10-08,220,99,121,776200,439100,337100,SUNDAY,NH,H,HHW,34,20,11.6,7,41,No moonrise,12:34 PM,06:13 AM,06:09 PM,20,29,29,27,6,21,71,1.8,1010,34,9,237,4
Airport ATM,2012-10-08,148,109,39,793500,652400,141100,SUNDAY,NH,H,HHW,34,20,11.6,7,41,No moonrise,12:34 PM,06:13 AM,06:09 PM,20,29,29,27,6,21,71,1.8,1010,34,9,237,4
KK Nagar ATM,2012-10-08,312,217,95,1393300,982000,411300,SUNDAY,NH,H,HHW,34,20,11.6,7,41,No moonrise,12:34 PM,06:13 AM,06:09 PM,20,29,29,27,6,21,71,1.8,1010,34,9,237,4
Christ College ATM,2012-10-08,181,54,127,729500,260500,469000,SUNDAY,NH,H,HHW,34,20,11.6,7,41,No moonrise,12:34 PM,06:13 AM,06:09 PM,20,29,29,27,6,21,71,1.8,1010,34,9,237,4
Big Street ATM,2012-10-09,88,27,61,281500,115300,166200,SUNDAY,NH,H,HHW,30,20,10.2,6,34,12:26 AM,01:20 PM,06:13 AM,06:08 PM,21,27,27,25,8,42,81,12.8,1010,30,8,230,5
Mount Road ATM,2012-10-09,187,85,102,648300,356200,292100,SUNDAY,NH,H,HHW,30,20,10.2,6,34,12:26 AM,01:20 PM,06:13 AM,06:08 PM,21,27,27,25,8,42,81,12.8,1010,30,8,230,5
Airport ATM,2012-10-09,117,75,42,621500,479100,142400,SUNDAY,NH,H,HHW,30,20,10.2,6,34,12:26 AM,01:20 PM,06:13 AM,06:08 PM,21,27,27,25,8,42,81,12.8,1010,30,8,230,5
KK Nagar ATM,2012-10-09,255,205,50,1117400,965500,151900,SUNDAY,NH,H,HHW,30,20,10.2,6,34,12:26 AM,01:20 PM,06:13 AM,06:08 PM,21,27,27,25,8,42,81,12.8,1010,30,8,230,5
Christ College ATM,2012-10-09,138,64,74,679300,367200,312100,SUNDAY,NH,H,HHW,30,20,10.2,6,34,12:26 AM,01:20 PM,06:13 AM,06:08 PM,21,27,27,25,8,42,81,12.8,1010,30,8,230,5
Big Street ATM,2012-10-10,104,27,77,361100,136400,224700,SUNDAY,NH,H,HHW,30,20,11.6,6,27,01:17 AM,02:04 PM,06:13 AM,06:08 PM,18,27,27,25,8,12,67,3.5,1010,30,10,153,5
Mount Road ATM,2012-10-10,237,101,136,873300,471400,401900,SUNDAY,NH,H,HHW,30,20,11.6,6,27,01:17 AM,02:04 PM,06:13 AM,06:08 PM,18,27,27,25,8,12,67,3.5,1010,30,10,153,5
Airport ATM,2012-10-10,126,90,36,678200,528500,149700,SUNDAY,NH,H,HHW,30,20,11.6,6,27,01:17 AM,02:04 PM,06:13 AM,06:08 PM,18,27,27,25,8,12,67,3.5,1010,30,10,153,5
KK Nagar ATM,2012-10-10,271,211,60,1278600,1019400,259200,SUNDAY,NH,H,HHW,30,20,11.6,6,27,01:17 AM,02:04 PM,06:13 AM,06:08 PM,18,27,27,25,8,12,67,3.5,1010,30,10,153,5
Christ College ATM,2012-10-10,144,58,86,703600,268600,435000,SUNDAY,NH,H,HHW,30,20,11.6,6,27,01:17 AM,02:04 PM,06:13 AM,06:08 PM,18,27,27,25,8,12,67,3.5,1010,30,10,153,5
Big Street ATM,2012-10-11,91,30,61,361400,183100,178300,SUNDAY,NH,H,HHW,31,18,11.6,6,20,02:08 AM,02:48 PM,06:13 AM,06:07 PM,17,26,26,25,10,12,64,0.0,1010,31,10,114,6
Mount Road ATM,2012-10-11,207,104,103,752200,454200,298000,SUNDAY,NH,H,HHW,31,18,11.6,6,20,02:08 AM,02:48 PM,06:13 AM,06:07 PM,17,26,26,25,10,12,64,0.0,1010,31,10,114,6
Airport ATM,2012-10-11,118,86,32,600000,483000,117000,SUNDAY,NH,H,HHW,31,18,11.6,6,20,02:08 AM,02:48 PM,06:13 AM,06:07 PM,17,26,26,25,10,12,64,0.0,1010,31,10,114,6
KK Nagar ATM,2012-10-11,287,198,89,1215000,767000,448000,SUNDAY,NH,H,HHW,31,18,11.6,6,20,02:08 AM,02:48 PM,06:13 AM,06:07 PM,17,26,26,25,10,12,64,0.0,1010,31,10,114,6
Christ College ATM,2012-10-11,129,54,75,618400,332500,285900,SUNDAY,NH,H,HHW,31,18,11.6,6,20,02:08 AM,02:48 PM,06:13 AM,06:07 PM,17,26,26,25,10,12,64,0.0,1010,31,10,114,6
Big Street ATM,2012-10-12,70,30,40,262600,142800,119800,SUNDAY,NH,H,HHW,31,19,11.6,6,12,03:00 AM,03:33 PM,06:13 AM,06:06 PM,18,26,26,25,8,32,67,0.8,1011,31,10,73,5
Mount Road ATM,2012-10-12,192,111,81,735500,545000,190500,SUNDAY,NH,H,HHW,31,19,11.6,6,12,03:00 AM,03:33 PM,06:13 AM,06:06 PM,18,26,26,25,8,32,67,0.8,1011,31,10,73,5
Airport ATM,2012-10-12,36,27,9,182700,175300,7400,SUNDAY,NH,H,HHW,31,19,11.6,6,12,03:00 AM,03:33 PM,06:13 AM,06:06 PM,18,26,26,25,8,32,67,0.8,1011,31,10,73,5
KK Nagar ATM,2012-10-12,250,183,67,923100,691600,231500,SUNDAY,NH,H,HHW,31,19,11.6,6,12,03:00 AM,03:33 PM,06:13 AM,06:06 PM,18,26,26,25,8,32,67,0.8,1011,31,10,73,5
Christ College ATM,2012-10-12,128,59,69,564200,356300,207900,SUNDAY,NH,H,HHW,31,19,11.6,6,12,03:00 AM,03:33 PM,06:13 AM,06:06 PM,18,26,26,25,8,32,67,0.8,1011,31,10,73,5
Big Street ATM,2012-10-13,87,30,57,270700,152700,118000,SATURDAY,NH,H,WHH,30,21,11.6,6,5,03:54 AM,04:18 PM,06:13 AM,06:06 PM,19,27,27,25,7,47,71,0.5,1011,30,8,92,5
Mount Road ATM,2012-10-13,239,104,135,854500,496600,357900,SATURDAY,NH,H,WHH,30,21,11.6,6,5,03:54 AM,04:18 PM,06:13 AM,06:06 PM,19,27,27,25,7,47,71,0.5,1011,30,8,92,5
Airport ATM,2012-10-13,46,37,9,267300,255200,12100,SATURDAY,NH,H,WHH,30,21,11.6,6,5,03:54 AM,04:18 PM,06:13 AM,06:06 PM,19,27,27,25,7,47,71,0.5,1011,30,8,92,5
KK Nagar ATM,2012-10-13,307,205,102,1159100,828800,330300,SATURDAY,NH,H,WHH,30,21,11.6,6,5,03:54 AM,04:18 PM,06:13 AM,06:06 PM,19,27,27,25,7,47,71,0.5,1011,30,8,92,5
Christ College ATM,2012-10-13,129,58,71,523800,331500,192300,SATURDAY,NH,H,WHH,30,21,11.6,6,5,03:54 AM,04:18 PM,06:13 AM,06:06 PM,19,27,27,25,7,47,71,0.5,1011,30,8,92,5
Big Street ATM,2012-10-14,63,17,46,207800,85700,122100,SUNDAY,NH,H,HHW,31,20,10.2,6,0,04:49 AM,05:05 PM,06:13 AM,06:05 PM,21,28,28,25,4,45,78,5.4,1012,31,10,142,3
Mount Road ATM,2012-10-14,179,66,113,400800,251400,149400,SUNDAY,NH,H,HHW,31,20,10.2,6,0,04:49 AM,05:05 PM,06:13 AM,06:05 PM,21,28,28,25,4,45,78,5.4,1012,31,10,142,3
Airport ATM,2012-10-14,136,89,47,481500,377000,104500,SUNDAY,NH,H,HHW,31,20,10.2,6,0,04:49 AM,05:05 PM,06:13 AM,06:05 PM,21,28,28,25,4,45,78,5.4,1012,31,10,142,3
KK Nagar ATM,2012-10-14,213,125,88,849900,517500,332400,SUNDAY,NH,H,HHW,31,20,10.2,6,0,04:49 AM,05:05 PM,06:13 AM,06:05 PM,21,28,28,25,4,45,78,5.4,1012,31,10,142,3
Christ College ATM,2012-10-14,89,41,48,371500,232700,138800,SUNDAY,NH,H,HHW,31,20,10.2,6,0,04:49 AM,05:05 PM,06:13 AM,06:05 PM,21,28,28,25,4,45,78,5.4,1012,31,10,142,3
Big Street ATM,2012-10-15,84,37,47,293400,217500,75900,SUNDAY,NH,H,HHW,31,21,11.6,6,0,05:47 AM,05:55 PM,06:13 AM,06:05 PM,21,27,27,25,4,51,81,5.6,1014,31,8,175,3
Mount Road ATM,2012-10-15,197,97,100,567000,337200,229800,SUNDAY,NH,H,HHW,31,21,11.6,6,0,05:47 AM,05:55 PM,06:13 AM,06:05 PM,21,27,27,25,4,51,81,5.6,1014,31,8,175,3
Airport ATM,2012-10-15,151,102,49,946600,717500,229100,SUNDAY,NH,H,HHW,31,21,11.6,6,0,05:47 AM,05:55 PM,06:13 AM,06:05 PM,21,27,27,25,4,51,81,5.6,1014,31,8,175,3
KK Nagar ATM,2012-10-15,281,218,63,1449500,1185200,264300,SUNDAY,NH,H,HHW,31,21,11.6,6,0,05:47 AM,05:55 PM,06:13 AM,06:05 PM,21,27,27,25,4,51,81,5.6,1014,31,8,175,3
Christ College ATM,2012-10-15,143,48,95,683300,322900,360400,SUNDAY,NH,H,HHW,31,21,11.6,6,0,05:47 AM,05:55 PM,06:13 AM,06:05 PM,21,27,27,25,4,51,81,5.6,1014,31,8,175,3
Big Street ATM,2012-10-16,80,27,53,310400,184200,126200,SUNDAY,NH,H,HHW,29,19,11.6,6,2,06:47 AM,06:48 PM,06:13 AM,06:04 PM,19,26,26,25,7,25,74,0.5,1014,29,8,145,5
Mount Road ATM,2012-10-16,162,85,77,495800,287800,208000,SUNDAY,NH,H,HHW,29,19,11.6,6,2,06:47 AM,06:48 PM,06:13 AM,06:04 PM,19,26,26,25,7,25,74,0.5,1014,29,8,145,5
Airport ATM,2012-10-16,129,88,41,554300,375700,178600,SUNDAY,NH,H,HHW,29,19,11.6,6,2,06:47 AM,06:48 PM,06:13 AM,06:04 PM,19,26,26,25,7,25,74,0.5,1014,29,8,145,5
KK Nagar ATM,2012-10-16,260,200,60,1168300,973800,194500,SUNDAY,NH,H,HHW,29,19,11.6,6,2,06:47 AM,06:48 PM,06:13 AM,06:04 PM,19,26,26,25,7,25,74,0.5,1014,29,8,145,5
Christ College ATM,2012-10-16,110,57,53,478800,300700,178100,SUNDAY,NH,H,HHW,29,19,11.6,6,2,06:47 AM,06:48 PM,06:13 AM,06:04 PM,19,26,26,25,7,25,74,0.5,1014,29,8,145,5
Big Street ATM,2012-10-17,79,27,52,252100,133400,118700,SUNDAY,NH,H,HHW,30,20,11.6,6,9,07:50 AM,07:45 PM,06:13 AM,06:04 PM,18,25,25,24,13,29,72,0.2,1013,30,9,60,9
Mount Road ATM,2012-10-17,143,67,76,355600,160200,195400,SUNDAY,NH,H,HHW,30,20,11.6,6,9,07:50 AM,07:45 PM,06:13 AM,06:04 PM,18,25,25,24,13,29,72,0.2,1013,30,9,60,9
Airport ATM,2012-10-17,113,86,27,526700,439300,87400,SUNDAY,NH,H,HHW,30,20,11.6,6,9,07:50 AM,07:45 PM,06:13 AM,06:04 PM,18,25,25,24,13,29,72,0.2,1013,30,9,60,9
KK Nagar ATM,2012-10-17,266,207,59,1379900,1149800,230100,SUNDAY,NH,H,HHW,30,20,11.6,6,9,07:50 AM,07:45 PM,06:13 AM,06:04 PM,18,25,25,24,13,29,72,0.2,1013,30,9,60,9
Christ College ATM,2012-10-17,100,50,50,464500,303500,161000,SUNDAY,NH,H,HHW,30,20,11.6,6,9,07:50 AM,07:45 PM,06:13 AM,06:04 PM,18,25,25,24,13,29,72,0.2,1013,30,9,60,9
Big Street ATM,2012-10-18,68,20,48,244700,113500,131200,SUNDAY,NH,H,HHW,29,18,11.6,6,17,08:53 AM,08:44 PM,06:13 AM,06:03 PM,17,25,25,24,13,28,70,0.5,1012,29,10,71,8
Mount Road ATM,2012-10-18,159,77,82,447000,249800,197200,SUNDAY,NH,H,HHW,29,18,11.6,6,17,08:53 AM,08:44 PM,06:13 AM,06:03 PM,17,25,25,24,13,28,70,0.5,1012,29,10,71,8
Airport ATM,2012-10-18,61,48,13,236400,210400,26000,SUNDAY,NH,H,HHW,29,18,11.6,6,17,08:53 AM,08:44 PM,06:13 AM,06:03 PM,17,25,25,24,13,28,70,0.5,1012,29,10,71,8
KK Nagar ATM,2012-10-18,176,127,49,748400,574200,174200,SUNDAY,NH,H,HHW,29,18,11.6,6,17,08:53 AM,08:44 PM,06:13 AM,06:03 PM,17,25,25,24,13,28,70,0.5,1012,29,10,71,8
Christ College ATM,2012-10-18,90,41,49,380600,238200,142400,SUNDAY,NH,H,HHW,29,18,11.6,6,17,08:53 AM,08:44 PM,06:13 AM,06:03 PM,17,25,25,24,13,28,70,0.5,1012,29,10,71,8
Big Street ATM,2012-10-19,69,21,48,174200,72400,101800,SUNDAY,NH,H,HHW,28,19,11.6,6,24,09:56 AM,09:46 PM,06:14 AM,06:03 PM,19,24,24,23,13,47,80,1.4,1012,28,7,58,9
Mount Road ATM,2012-10-19,188,77,111,750300,430500,319800,SUNDAY,NH,H,HHW,28,19,11.6,6,24,09:56 AM,09:46 PM,06:14 AM,06:03 PM,19,24,24,23,13,47,80,1.4,1012,28,7,58,9
Airport ATM,2012-10-19,68,57,11,276600,260000,16600,SUNDAY,NH,H,HHW,28,19,11.6,6,24,09:56 AM,09:46 PM,06:14 AM,06:03 PM,19,24,24,23,13,47,80,1.4,1012,28,7,58,9
KK Nagar ATM,2012-10-19,210,158,52,752700,616200,136500,SUNDAY,NH,H,HHW,28,19,11.6,6,24,09:56 AM,09:46 PM,06:14 AM,06:03 PM,19,24,24,23,13,47,80,1.4,1012,28,7,58,9
Christ College ATM,2012-10-19,88,53,35,487800,359700,128100,SUNDAY,NH,H,HHW,28,19,11.6,6,24,09:56 AM,09:46 PM,06:14 AM,06:03 PM,19,24,24,23,13,47,80,1.4,1012,28,7,58,9
Big Street ATM,2012-10-20,86,24,62,264400,128400,136000,SATURDAY,NH,H,WHH,26,20,8.8,5,31,10:56 AM,10:46 PM,06:14 AM,06:02 PM,20,22,24,22,15,82,90,3.0,1012,26,6,73,11
Mount Road ATM,2012-10-20,222,91,131,629700,383000,246700,SATURDAY,NH,H,WHH,26,20,8.8,5,31,10:56 AM,10:46 PM,06:14 AM,06:02 PM,20,22,24,22,15,82,90,3.0,1012,26,6,73,11
Airport ATM,2012-10-20,124,84,40,564200,438400,125800,SATURDAY,NH,H,WHH,26,20,8.8,5,31,10:56 AM,10:46 PM,06:14 AM,06:02 PM,20,22,24,22,15,82,90,3.0,1012,26,6,73,11
KK Nagar ATM,2012-10-20,267,199,68,1088600,835500,253100,SATURDAY,NH,H,WHH,26,20,8.8,5,31,10:56 AM,10:46 PM,06:14 AM,06:02 PM,20,22,24,22,15,82,90,3.0,1012,26,6,73,11
Christ College ATM,2012-10-20,100,49,51,488800,306300,182500,SATURDAY,NH,H,WHH,26,20,8.8,5,31,10:56 AM,10:46 PM,06:14 AM,06:02 PM,20,22,24,22,15,82,90,3.0,1012,26,6,73,11
Big Street ATM,2012-10-21,102,39,63,341100,180600,160500,SUNDAY,NH,H,HHW,28,19,10.2,5,38,11:52 AM,11:45 PM,06:14 AM,06:02 PM,20,24,24,23,17,73,86,1.4,1012,28,7,85,12
