ATM Name,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence,Day,Month,Year,Rainfall_Status
Airport ATM,248200,WEDNESDAY,N,H,WHW,26,1,2011,No Rain
KK Nagar ATM,485900,WEDNESDAY,N,H,WHW,26,1,2011,No Rain
Christ College ATM,258400,WEDNESDAY,N,H,WHW,26,1,2011,No Rain
Big Street ATM,83300,THURSDAY,NH,W,HWW,27,1,2011,No Rain
Mount Road ATM,461500,THURSDAY,NH,W,HWW,27,1,2011,No Rain
Airport ATM,402100,THURSDAY,NH,W,HWW,27,1,2011,No Rain
KK Nagar ATM,722900,THURSDAY,NH,W,HWW,27,1,2011,No Rain
Christ College ATM,336300,THURSDAY,NH,W,HWW,27,1,2011,No Rain
Big Street ATM,71300,FRIDAY,NH,W,WWH,28,1,2011,No Rain
Mount Road ATM,336300,FRIDAY,NH,W,WWH,28,1,2011,No Rain
Airport ATM,191800,FRIDAY,NH,W,WWH,28,1,2011,No Rain
KK Nagar ATM,874200,FRIDAY,NH,W,WWH,28,1,2011,No Rain
Christ College ATM,254500,FRIDAY,NH,W,WWH,28,1,2011,No Rain
Big Street ATM,163500,SATURDAY,NH,H,WHH,29,1,2011,No Rain
Mount Road ATM,428000,SATURDAY,NH,H,WHH,29,1,2011,No Rain
Airport ATM,384600,SATURDAY,NH,H,WHH,29,1,2011,No Rain
KK Nagar ATM,1082200,SATURDAY,NH,H,WHH,29,1,2011,No Rain
Christ College ATM,463400,SATURDAY,NH,H,WHH,29,1,2011,No Rain
Big Street ATM,41100,SUNDAY,NH,H,HHW,30,1,2011,No Rain
Mount Road ATM,296400,SUNDAY,NH,H,HHW,30,1,2011,No Rain
Airport ATM,194400,SUNDAY,NH,H,HHW,30,1,2011,No Rain
KK Nagar ATM,517100,SUNDAY,NH,H,HHW,30,1,2011,No Rain
Christ College ATM,277200,SUNDAY,NH,H,HHW,30,1,2011,No Rain
Big Street ATM,70800,MONDAY,NH,W,HWW,31,1,2011,No Rain
